ReviewID,Churn,Name,Longevity,TypeTravel,RoomType,RewardPoints,Comfort,ReceptionSchedule,FoodDrink,Location,Wifi,Amenities,Staff,OnlineBooking,PriceQuality,RoomSpace,CheckOut,Checkin,Cleanliness,BarService,Average,Age,Gender,label_reviews,label_categoric,final_label
17,churn,Mr. Devin Benson,yes,leisure,double,5229,2,3,2,2,5,2,5,5,1,2,3,4,3,5,3.142857142857143,60.0,M,1,2,12
18,churn,Ms. Melissa Hayes MD,no,business,single,5466,2,4,2,2,2,2,2,2,5,2,4,3,5,2,2.7857142857142856,27.0,F,0,0,00
19,nochurn,Ms. Pamela Torres,yes,business,single,4299,1,1,2,1,2,4,4,3,3,3,3,4,3,3,2.642857142857143,40.0,F,1,1,11
20,churn,Mr. John Schwartz,yes,business,double,5577,3,2,2,2,3,3,3,3,3,2,4,3,3,3,2.7857142857142856,42.0,M,0,2,02
21,nochurn,Mr. Rodney Fields,yes,business,single,5722,5,5,1,5,2,4,5,2,2,2,2,4,2,5,3.2857142857142856,43.0,M,2,3,23
22,churn,Mr. Theodore Vargas,yes,leisure,double,4692,2,5,2,4,4,2,2,4,5,5,2,1,1,4,3.0714285714285716,59.0,M,0,2,02
23,churn,Mr. Ryan Hicks,yes,leisure,double,5274,1,5,1,5,5,1,5,5,4,4,4,3,4,5,3.7142857142857144,26.0,M,1,2,12
24,churn,Mr. Matthew Nguyen,yes,business,single,3076,4,3,3,3,3,3,3,3,3,3,4,4,3,2,3.142857142857143,52.0,M,0,2,02
25,churn,Ms. Mrs. Jill Nichols,no,business,double,5739,2,0,2,2,5,2,5,5,1,1,2,5,4,5,2.9285714285714284,38.0,F,1,0,10
26,churn,Mr. Edward Collier,yes,leisure,double,4424,4,4,3,3,4,3,4,4,4,4,3,1,3,4,3.4285714285714284,65.0,M,2,2,22
27,nochurn,Ms. Emily Thomas,yes,leisure,double,4760,0,5,0,3,5,0,3,5,4,4,5,4,4,5,3.357142857142857,30.0,F,1,1,11
28,churn,Mr. Bruce Freeman,no,business,single,4680,3,3,3,3,4,3,4,4,4,2,4,3,5,4,3.5,36.0,M,2,0,20
29,churn,Mr. Edward Cain,yes,leisure,double,5021,2,4,3,1,5,3,4,5,4,2,5,3,2,5,3.4285714285714284,48.0,M,1,2,12
30,churn,Mr. Richard Vaughn,yes,business,double,4404,3,2,2,2,3,3,3,3,4,1,4,3,3,3,2.7857142857142856,41.0,M,0,2,02
31,churn,Ms. Jennifer Shaw,no,business,suite,5165,4,4,4,4,4,4,4,4,3,2,3,1,3,4,3.4285714285714284,39.0,F,2,0,20
32,churn,Mr. Anthony Francis,yes,leisure,double,5083,2,1,2,3,5,2,5,5,4,1,4,1,4,5,3.142857142857143,67.0,M,1,2,12
33,churn,Mr. Russell Velasquez,no,business,double,5222,2,0,2,3,1,2,1,1,3,4,2,3,3,1,2.0,44.0,M,0,0,00
34,nochurn,Ms. Miranda Sharp,no,business,double,5133,4,0,4,1,5,4,5,5,5,2,4,5,5,5,3.857142857142857,24.0,F,1,0,10
35,churn,Mr. Steven Alvarez,yes,leisure,single,5254,3,4,5,1,3,5,3,3,5,2,5,3,4,3,3.5,26.0,M,2,2,22
36,churn,Ms. Melissa Page,yes,leisure,double,6523,4,4,4,3,3,5,4,3,3,4,5,4,3,3,3.7142857142857144,57.0,F,2,2,22
37,nochurn,Mr. Stephen Ward,yes,business,single,5608,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3.357142857142857,52.0,M,1,3,13
38,nochurn,Mr. Matthew Martin,yes,business,single,5067,1,1,1,1,3,5,5,4,4,4,4,4,4,4,3.2142857142857144,49.0,M,1,3,13
39,nochurn,Ms. Kimberly Reed,yes,business,single,6578,3,3,3,3,5,4,4,4,4,4,4,4,4,5,3.857142857142857,44.0,F,2,1,21
40,churn,Ms. Ashley Lewis,no,business,single,5371,2,2,2,5,1,2,1,1,3,5,4,3,4,1,2.5714285714285716,55.0,F,0,0,00
41,nochurn,Mr. George Wells,no,business,double,6001,0,4,0,4,2,0,2,2,5,5,5,5,4,2,2.857142857142857,25.0,M,0,3,03
42,nochurn,Ms. Amy Floyd,yes,business,single,5219,2,2,2,2,2,3,4,3,3,4,3,3,3,4,2.857142857142857,44.0,F,1,1,11
43,churn,Mr. Mitchell Bond,yes,business,single,3578,3,4,5,4,1,3,2,3,3,3,3,1,3,2,2.857142857142857,40.0,M,0,2,02
44,nochurn,Ms. Danielle Torres,yes,business,single,6099,5,5,5,5,5,4,4,5,5,5,5,4,5,3,4.642857142857143,57.0,F,2,1,21
45,nochurn,Mr. Timothy Rodriguez,yes,business,single,5072,0,0,0,1,5,5,4,5,5,5,5,4,5,3,3.357142857142857,44.0,M,1,3,13
46,churn,Mr. Michael Boyle,yes,leisure,double,4333,3,3,3,3,4,3,4,4,2,1,3,2,4,4,3.0714285714285716,23.0,M,1,2,12
47,nochurn,Ms. Laura Johnson,yes,business,single,2426,1,1,1,1,5,5,5,5,4,2,4,3,4,5,3.2857142857142856,30.0,F,1,1,11
48,nochurn,Ms. Theresa Newton,yes,business,double,4883,4,3,3,3,4,5,4,4,1,2,5,5,5,4,3.7142857142857144,42.0,F,2,1,21
49,nochurn,Ms. Heidi Baker,yes,business,single,6692,0,0,0,3,5,5,5,5,5,2,2,3,5,4,3.142857142857143,38.0,F,1,1,11
50,nochurn,Mr. Brian Bryant,yes,business,single,6525,1,1,1,1,2,4,4,4,4,4,4,4,4,5,3.0714285714285716,52.0,M,1,3,13
51,nochurn,Ms. Kathy Sweeney,yes,business,single,5560,2,2,2,2,5,4,4,5,5,5,5,3,5,3,3.7142857142857144,60.0,F,1,1,11
52,nochurn,Ms. Brenda Newton,yes,business,single,6088,5,5,5,5,2,4,5,4,4,4,4,5,4,5,4.357142857142857,49.0,F,2,1,21
53,churn,Mr. Richard Buck,yes,leisure,double,3972,2,4,2,3,1,2,1,1,3,5,5,5,5,1,2.857142857142857,63.0,M,0,2,02
54,churn,Mr. Keith Delgado,yes,leisure,suite,5216,2,5,3,5,5,3,5,5,5,3,5,2,2,5,3.9285714285714284,46.0,M,2,2,22
55,nochurn,Ms. Allison Hernandez,yes,leisure,double,6587,5,5,5,1,4,5,5,5,5,5,3,4,5,5,4.428571428571429,44.0,F,2,1,21
56,churn,Mr. Marcus White,no,business,double,4983,3,3,3,2,5,3,4,5,3,1,1,1,4,5,3.0714285714285716,27.0,M,1,0,10
57,churn,Mr. Christopher Dougherty Jr.,yes,business,double,5958,2,1,1,1,2,2,2,2,2,3,4,2,4,2,2.142857142857143,58.0,M,0,2,02
58,churn,Mr. Robert Bryan,yes,leisure,single,4258,3,5,3,3,4,3,4,4,5,2,4,5,5,4,3.857142857142857,34.0,M,2,2,22
59,churn,Ms. Patricia Ho,no,business,single,4754,4,4,4,2,4,4,2,4,5,3,4,5,4,4,3.7857142857142856,50.0,F,2,0,20
60,churn,Mr. Shaun Drake,yes,leisure,double,4597,2,4,2,4,4,2,1,4,4,4,2,4,3,4,3.142857142857143,52.0,M,0,2,02
61,nochurn,Mr. Christopher Gamble,yes,business,single,4925,5,5,5,5,2,4,4,5,5,5,5,3,5,4,4.428571428571429,51.0,M,2,3,23
62,churn,Mr. Joel Bowman,yes,leisure,double,5364,2,5,2,3,1,2,1,1,3,5,4,4,4,1,2.7142857142857144,34.0,M,0,2,02
63,nochurn,Ms. Jill Berry,yes,business,single,5761,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4.142857142857143,40.0,F,2,1,21
64,nochurn,Ms. Erika Mills,yes,business,single,3056,1,1,1,1,3,4,4,2,2,3,2,3,2,4,2.357142857142857,43.0,F,1,1,11
65,nochurn,Ms. Megan Walls,yes,business,single,3946,2,2,2,2,5,5,5,5,5,4,5,4,4,5,3.9285714285714284,25.0,F,1,1,11
66,nochurn,Ms. Jessica Davis,yes,business,double,6662,4,5,5,5,3,5,4,4,4,4,4,5,4,5,4.357142857142857,57.0,F,2,1,21
67,nochurn,Mr. Jeffery Wells,yes,business,single,4153,0,5,0,2,4,1,1,1,1,1,1,1,1,3,1.5714285714285714,51.0,M,0,3,03
68,nochurn,Ms. Rachael Gould,yes,business,single,3258,2,2,2,2,4,2,3,4,4,5,4,4,4,2,3.142857142857143,38.0,F,1,1,11
69,nochurn,Ms. Ashley Hines,yes,business,single,6659,2,2,2,2,3,3,5,5,5,5,5,2,5,2,3.4285714285714284,61.0,F,1,1,11
70,churn,Mr. Jeff Jones,yes,leisure,double,5101,3,3,0,3,0,3,5,5,1,1,1,5,5,5,2.857142857142857,41.0,M,1,2,12
71,nochurn,Mr. David Cook,yes,business,single,4898,3,3,3,3,3,5,5,5,5,5,5,3,5,3,4.0,36.0,M,2,3,23
72,churn,Ms. Tammy Berry,no,business,single,5318,4,4,4,2,3,4,3,3,4,2,5,4,5,3,3.5714285714285716,39.0,F,2,0,20
73,churn,Mr. Ryan Thomas,yes,leisure,double,5671,2,4,2,4,4,2,4,4,2,5,3,1,3,4,3.142857142857143,40.0,M,1,2,12
74,churn,Ms. Kim Brown,yes,business,single,4586,2,5,5,5,2,2,2,4,3,1,3,2,4,2,3.0,45.0,F,0,0,00
75,nochurn,Ms. Ashley Kline,yes,leisure,double,4971,3,3,3,3,5,4,2,5,5,5,5,4,5,2,3.857142857142857,42.0,F,2,1,21
76,nochurn,Ms. Tracy Washington,yes,business,single,6643,3,3,3,3,5,4,5,5,5,5,5,5,5,3,4.214285714285714,40.0,F,2,1,21
77,churn,Ms. Theresa Ward,yes,leisure,double,6403,4,1,4,4,1,4,3,5,5,4,5,1,5,2,3.4285714285714284,53.0,F,2,2,22
78,nochurn,Ms. Wanda Walker,yes,business,single,6606,4,1,4,4,5,4,4,4,4,4,4,4,4,3,3.7857142857142856,37.0,F,2,1,21
79,churn,Mr. Ralph Murphy,yes,leisure,single,3827,3,4,3,3,2,3,2,2,5,2,5,5,4,2,3.2142857142857144,20.0,M,0,2,02
80,nochurn,Mr. Christopher Martinez,yes,business,single,6538,1,1,1,1,3,4,4,4,4,4,4,5,4,5,3.2142857142857144,60.0,M,1,3,13
81,churn,Mr. Zachary Taylor,yes,business,suite,4769,3,4,4,4,3,3,3,3,2,5,4,1,3,3,3.2142857142857144,29.0,M,0,2,02
82,churn,Mr. Kevin Jones,yes,business,single,4650,2,3,3,3,2,2,2,2,4,4,4,4,3,2,2.857142857142857,24.0,M,0,2,02
83,nochurn,Mr. Reginald Harris,yes,leisure,double,5410,0,4,0,2,3,0,3,3,1,4,5,3,1,3,2.2857142857142856,65.0,M,0,3,03
84,nochurn,Ms. Angela Garcia,yes,business,double,4513,4,3,3,3,4,4,4,4,1,3,1,4,1,4,3.0714285714285716,40.0,F,2,1,21
85,nochurn,Mr. Adam Hill,yes,business,single,4322,4,4,4,4,5,5,5,1,1,4,5,5,1,5,3.7857142857142856,37.0,M,2,3,23
86,nochurn,Ms. Mrs. Sharon Morrow,yes,business,double,6945,2,3,3,3,5,4,2,1,1,2,1,2,1,4,2.4285714285714284,65.0,F,0,1,01
87,churn,Mr. Eric Marshall,yes,business,single,6176,1,2,2,2,5,3,4,1,1,1,1,3,1,2,2.0714285714285716,47.0,M,0,2,02
88,churn,Ms. Jennifer Morton,yes,leisure,double,5399,3,5,4,2,5,3,4,2,2,4,4,5,2,4,3.5,63.0,F,2,2,22
89,churn,Ms. Carolyn Morris,yes,business,single,6107,2,5,5,5,5,4,3,2,2,2,2,1,2,2,3.0,40.0,F,0,0,00
90,nochurn,Ms. Allison Olson,yes,leisure,double,4594,2,2,2,2,4,5,4,5,5,5,5,3,5,4,3.7857142857142856,30.0,F,1,1,11
91,churn,Ms. Bailey Johnston,yes,leisure,double,5611,4,2,4,2,1,4,1,1,1,2,2,3,1,1,2.0714285714285716,40.0,F,0,2,02
92,churn,Mr. James Campbell,yes,leisure,double,5075,4,5,4,1,5,4,5,5,5,2,5,5,4,5,4.214285714285714,46.0,M,2,2,22
93,nochurn,Ms. Rose Morton,yes,leisure,double,6624,4,5,1,4,3,4,3,4,4,1,4,2,4,5,3.4285714285714284,65.0,F,2,1,21
94,churn,Mr. John Hall,no,business,single,4444,3,3,3,3,5,3,5,5,5,2,4,5,4,5,3.9285714285714284,36.0,M,2,0,20
95,churn,Ms. Cynthia Banks,yes,leisure,double,6444,4,5,4,3,5,4,5,3,3,4,3,5,3,3,3.857142857142857,44.0,F,2,2,22
96,churn,Mr. Mark Mann,yes,leisure,suite,4456,1,4,1,2,2,1,2,2,5,4,5,4,4,2,2.7857142857142856,67.0,M,0,2,02
97,churn,Mr. Joshua Webster,yes,leisure,double,4900,3,2,3,2,3,3,3,3,3,4,2,3,3,3,2.857142857142857,50.0,M,0,2,02
98,nochurn,Mr. Garrett Torres,yes,business,single,4994,5,5,4,5,3,5,4,4,4,4,4,5,4,3,4.214285714285714,53.0,M,2,3,23
99,churn,Ms. Kimberly Anderson,no,business,single,5310,3,3,3,3,4,3,4,4,3,5,5,4,4,4,3.7142857142857144,40.0,F,2,0,20
100,nochurn,Mr. Todd Webb,yes,business,single,3229,2,2,2,2,3,4,4,4,4,4,4,3,4,4,3.2857142857142856,35.0,M,1,3,13
101,churn,Ms. Sarah Richards,no,business,suite,5255,2,1,1,3,4,2,2,4,3,3,2,1,2,4,2.4285714285714284,50.0,F,1,0,10
102,churn,Mr. Wesley Oconnor,yes,business,single,4884,1,1,1,1,3,4,4,1,1,1,1,1,1,2,1.6428571428571428,43.0,M,0,2,02
103,churn,Mr. Steven Dixon,yes,leisure,double,4932,2,1,2,3,4,2,4,4,4,4,4,1,4,4,3.0714285714285716,54.0,M,1,2,12
104,churn,Mr. Andrew Mcclure,yes,business,single,4785,3,4,4,4,3,3,3,3,2,5,4,2,4,3,3.357142857142857,30.0,M,2,2,22
105,churn,Ms. Crystal Petersen,no,business,single,5265,3,3,3,4,5,3,5,5,3,3,4,3,4,5,3.7857142857142856,40.0,F,2,0,20
106,churn,Mr. Robert Hernandez,yes,leisure,double,4956,3,1,3,3,3,3,4,3,2,3,3,1,4,3,2.7857142857142856,46.0,M,0,2,02
107,churn,Ms. Mrs. Jodi Williams,no,business,double,4739,2,4,2,4,1,2,1,1,4,3,4,1,3,1,2.357142857142857,28.0,F,0,0,00
108,nochurn,Ms. Lauren Hatfield,yes,business,single,4439,2,2,2,2,5,5,5,5,3,5,5,3,4,5,3.7857142857142856,31.0,F,1,1,11
109,nochurn,Mr. Ricky Duarte,yes,business,single,5390,5,5,5,5,3,5,4,2,2,2,2,5,2,5,3.7142857142857144,48.0,M,2,3,23
110,nochurn,Ms. Melissa Martin,yes,leisure,double,5052,2,2,2,2,2,2,3,4,4,4,4,3,4,1,2.7857142857142856,21.0,F,0,1,01
111,nochurn,Mr. Michael Anderson,no,business,single,4613,5,5,5,2,2,5,2,2,3,2,4,5,5,2,3.5,58.0,M,2,3,23
112,churn,Ms. Laura Reid,no,business,double,5238,1,2,1,3,1,1,1,1,1,3,3,4,4,1,1.9285714285714286,18.0,F,0,0,00
113,churn,Mr. Lonnie Garza DDS,yes,business,single,4412,1,5,1,5,2,3,3,3,3,3,1,3,3,4,2.857142857142857,63.0,M,0,2,02
114,churn,Ms. Ashley Conrad,no,business,single,5091,4,4,4,3,1,4,1,1,4,2,5,3,4,1,2.9285714285714284,40.0,F,0,0,00
115,churn,Ms. Sandra Hunter,yes,business,double,6573,3,3,3,3,3,3,3,3,3,3,3,4,3,1,2.9285714285714284,60.0,F,0,0,00
116,nochurn,Ms. Amanda Smith,yes,business,single,4142,1,1,4,1,3,4,4,3,3,3,3,5,3,5,3.0714285714285716,42.0,F,1,1,11
117,nochurn,Ms. Rachel Morris,yes,leisure,double,6129,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3.7857142857142856,60.0,F,2,1,21
118,nochurn,Ms. Tiffany Holt,yes,business,single,4663,3,3,3,3,3,4,5,4,4,4,4,3,4,4,3.642857142857143,37.0,F,2,1,21
119,churn,Ms. Jennifer Smith,no,business,double,4504,2,2,2,3,1,2,1,1,1,1,4,1,3,1,1.7857142857142858,36.0,F,0,0,00
120,churn,Ms. Diamond Hill,no,business,double,5107,3,1,3,3,5,3,5,5,3,1,3,1,4,5,3.2142857142857144,19.0,F,1,0,10
121,nochurn,Mr. David Ellis,yes,leisure,double,4998,0,4,0,3,5,0,5,5,3,2,4,3,4,5,3.0714285714285716,45.0,M,1,3,13
122,nochurn,Mr. Justin Keith,yes,leisure,double,4642,4,4,4,3,1,4,1,1,4,5,5,5,4,1,3.2857142857142856,31.0,M,0,3,03
123,nochurn,Mr. Jacob Abbott,yes,leisure,double,4941,5,2,5,4,4,2,4,4,4,2,4,3,4,4,3.642857142857143,29.0,M,2,3,23
124,churn,Mr. Jeffrey Stewart,yes,leisure,double,5094,4,5,3,1,5,3,1,5,4,3,5,4,4,5,3.7142857142857144,63.0,M,2,2,22
125,nochurn,Mr. Edgar Johnson,yes,business,double,5524,5,3,3,3,5,5,5,5,5,1,1,1,3,5,3.5714285714285716,55.0,M,2,3,23
126,churn,Ms. Elizabeth Tyler,yes,business,double,5151,2,2,2,2,2,2,2,2,3,4,3,2,4,2,2.4285714285714284,35.0,F,0,0,00
127,nochurn,Mr. Daniel Payne,yes,business,single,6117,5,5,4,5,3,5,5,4,4,4,4,4,4,5,4.357142857142857,52.0,M,2,3,23
128,churn,Ms. Ana Whitney,no,business,double,5637,1,1,1,4,4,1,1,4,2,1,4,3,3,4,2.4285714285714284,24.0,F,0,0,00
129,nochurn,Ms. Karina Boyd,yes,leisure,double,5328,5,5,5,5,2,4,5,4,4,4,4,3,4,5,4.214285714285714,36.0,F,2,1,21
130,churn,Mr. James Floyd,yes,business,single,3098,4,3,3,3,3,3,4,4,4,4,4,3,4,2,3.4285714285714284,38.0,M,2,2,22
131,churn,Ms. Summer Garcia,no,business,double,5133,1,2,2,2,1,2,1,1,1,3,3,3,2,1,1.7857142857142858,34.0,F,0,0,00
132,nochurn,Ms. Tammy Smith,yes,leisure,single,6520,0,0,0,3,4,5,4,2,2,2,2,3,2,4,2.357142857142857,56.0,F,1,1,11
133,churn,Mr. Gerald Richardson,no,business,single,5233,3,3,2,3,4,2,4,4,2,3,4,2,4,4,3.142857142857143,26.0,M,1,0,10
134,nochurn,Ms. Barbara Key,yes,business,single,5874,4,4,4,4,5,5,5,2,2,2,2,4,2,4,3.5,44.0,F,2,1,21
135,nochurn,Mr. Joshua Carroll,no,business,double,4332,3,3,3,5,4,3,4,4,3,3,5,3,4,4,3.642857142857143,21.0,M,2,3,23
136,churn,Mr. Daniel Giles,no,business,double,4873,2,2,2,3,3,2,3,3,1,4,4,4,3,3,2.7857142857142856,31.0,M,0,0,00
137,churn,Mr. James Matthews,yes,leisure,double,5264,3,4,3,4,3,3,3,3,1,5,3,1,5,3,3.142857142857143,60.0,M,0,2,02
138,churn,Mr. Gabriel Singh,yes,business,double,5607,1,4,4,4,1,1,1,1,2,5,3,3,4,1,2.5,40.0,M,0,2,02
139,nochurn,Mr. Christopher Bartlett,yes,business,single,6645,0,0,0,4,2,5,4,5,5,5,5,3,5,4,3.357142857142857,54.0,M,1,3,13
140,nochurn,Ms. Carmen Hurst,yes,business,double,6632,4,4,4,4,2,2,5,5,5,4,5,4,5,3,4.0,48.0,F,2,1,21
141,nochurn,Ms. Michelle Butler,yes,leisure,single,5353,4,4,4,4,4,4,4,5,5,4,5,3,5,3,4.142857142857143,46.0,F,2,1,21
142,churn,Mr. Joseph Rivera,yes,leisure,double,5102,4,5,4,5,1,4,1,1,5,3,4,4,4,1,3.2857142857142856,71.0,M,0,2,02
143,churn,Mr. James Taylor,yes,business,single,5366,2,3,3,3,1,3,4,2,2,2,2,1,2,2,2.2857142857142856,61.0,M,0,2,02
144,churn,Mr. Lucas Barnes,yes,business,single,4456,2,3,3,3,1,4,3,2,2,2,2,1,2,1,2.2142857142857144,42.0,M,0,2,02
145,nochurn,Ms. Alicia White,yes,business,single,4680,2,2,2,2,2,5,4,4,4,4,4,4,4,4,3.357142857142857,48.0,F,1,1,11
146,nochurn,Ms. Robin Berg,yes,leisure,double,5080,5,5,5,5,2,4,5,4,4,4,4,3,4,5,4.214285714285714,21.0,F,2,1,21
147,nochurn,Ms. Elizabeth Santos,no,business,single,5370,4,4,4,2,2,4,2,2,5,4,4,4,4,2,3.357142857142857,29.0,F,0,0,00
148,nochurn,Mr. James Vega,yes,business,single,6791,2,2,2,2,2,2,2,5,5,5,5,3,5,1,3.0714285714285716,38.0,M,1,3,13
149,nochurn,Ms. Jackie Brown,yes,leisure,double,6131,2,2,2,2,4,4,4,4,4,5,2,3,1,4,3.0714285714285716,56.0,F,1,1,11
150,churn,Mr. Jerry Cannon,yes,leisure,double,4672,3,1,3,2,4,3,4,4,3,1,2,2,3,4,2.7857142857142856,36.0,M,1,2,12
151,churn,Mr. Nathaniel Lopez,yes,leisure,double,4705,2,4,2,4,4,2,4,4,4,5,4,3,5,4,3.642857142857143,48.0,M,1,2,12
152,nochurn,Mr. Corey Lucas,yes,business,single,5004,2,2,2,2,3,5,5,4,4,4,4,3,4,3,3.357142857142857,57.0,M,1,3,13
153,churn,Ms. Melissa Johnson,yes,business,single,4247,1,5,5,5,4,3,4,1,1,1,1,4,1,4,2.857142857142857,37.0,F,0,0,00
154,nochurn,Ms. Jessica Brewer,yes,leisure,double,5957,4,4,4,4,3,4,5,5,5,5,5,4,5,5,4.428571428571429,44.0,F,2,1,21
155,nochurn,Ms. Stephanie Smith,yes,leisure,double,5600,3,3,3,3,3,5,5,4,4,5,4,3,4,5,3.857142857142857,38.0,F,2,1,21
156,churn,Mr. Craig White,yes,leisure,single,6346,1,5,1,5,4,4,5,3,3,1,3,3,3,5,3.2857142857142856,60.0,M,1,2,12
157,nochurn,Ms. Felicia Collins,yes,leisure,double,5833,1,1,1,1,4,3,5,1,1,2,1,3,1,4,2.0714285714285716,29.0,F,1,1,11
158,nochurn,Ms. Theresa Walker,yes,leisure,double,3822,1,1,1,1,5,5,4,5,5,5,5,5,5,5,3.7857142857142856,31.0,F,1,1,11
159,nochurn,Ms. Mary Mcpherson,no,business,single,5053,0,0,0,1,5,0,5,5,3,2,5,4,5,5,2.857142857142857,29.0,F,1,0,10
160,churn,Mr. Larry Spence,yes,business,single,4193,4,5,5,5,2,3,4,1,1,1,4,4,1,4,3.142857142857143,40.0,M,0,2,02
161,churn,Mr. Alex Chavez,yes,business,single,2263,2,4,5,4,2,2,2,4,3,2,3,2,4,2,2.9285714285714284,28.0,M,0,2,02
162,churn,Ms. Nicole Ware,yes,business,suite,6741,4,1,1,1,3,3,4,4,4,4,4,2,4,3,3.0,59.0,F,1,0,10
163,churn,Ms. Bonnie Hernandez,yes,leisure,double,4809,3,5,3,5,5,3,5,5,3,3,5,5,4,5,4.214285714285714,35.0,F,2,2,22
164,churn,Mr. William Marquez,yes,business,single,5710,1,4,3,3,4,4,4,1,1,1,1,2,1,2,2.2857142857142856,48.0,M,0,2,02
165,nochurn,Mr. Cameron Myers,yes,business,double,5213,4,1,1,1,4,4,4,4,5,4,2,2,4,4,3.142857142857143,55.0,M,1,3,13
166,nochurn,Mr. Robert English,yes,business,single,6144,1,1,1,1,4,4,4,5,5,5,5,5,5,4,3.5714285714285716,47.0,M,1,3,13
167,nochurn,Mr. Grant Adams,yes,business,single,6736,1,1,1,1,5,4,5,4,4,4,4,4,4,4,3.2857142857142856,69.0,M,1,3,13
168,nochurn,Ms. Elizabeth Lawson,yes,business,single,3669,1,1,1,1,5,5,5,5,4,5,5,4,4,5,3.642857142857143,42.0,F,1,1,11
169,churn,Ms. Ashley Bailey,no,business,double,4972,2,0,2,4,2,2,1,2,4,3,5,5,4,2,2.7142857142857144,24.0,F,0,0,00
170,nochurn,Ms. Elizabeth Morgan,yes,business,single,4593,1,1,1,1,2,4,5,4,4,4,5,2,4,4,3.0,50.0,F,1,1,11
171,nochurn,Ms. Patty Woods,yes,leisure,double,6391,5,3,5,3,2,2,3,3,3,5,3,5,3,1,3.2857142857142856,57.0,F,0,1,01
172,churn,Ms. Heather Blair,no,business,single,5712,1,1,1,3,2,1,2,2,1,2,4,1,3,2,1.8571428571428572,41.0,F,0,0,00
173,churn,Ms. Jordan Mendez,no,business,single,5538,3,2,3,3,3,3,3,3,3,2,3,3,4,3,2.9285714285714284,27.0,F,0,0,00
174,churn,Ms. Tanya Clark,yes,business,double,6551,1,2,2,2,3,2,2,1,1,1,1,4,1,4,1.9285714285714286,62.0,F,0,0,00
175,nochurn,Mr. John Conley,yes,business,single,3334,1,1,1,1,5,2,2,5,5,5,5,5,5,2,3.2142857142857144,35.0,M,1,3,13
176,nochurn,Ms. Regina Jordan,yes,business,single,3234,5,5,5,5,3,4,5,5,5,5,5,4,5,3,4.571428571428571,42.0,F,2,1,21
177,nochurn,Ms. Valerie Morrow,yes,leisure,double,5257,3,3,5,3,3,5,5,5,5,5,5,4,5,5,4.357142857142857,16.0,F,2,1,21
